"No","Box","Make","Model","Mod.Year","Color & Livery","F","R","RL","GR","Manufacturer","Manuf. Det.","Scale","Scale","Prod.","Acquired",""
"1","NB","Jaguar","XK 120 CC","1948","Evergreen","F","R","RL","GL","Bburago","","1:","24","","",""
"2","NB","Jaguar","XK 120 HT","1948","White","F","R","RL","GL","Bburago","","1:","24","","",""
"3","NB","Shelby Cobra","427CC","1965","Red","F","R","RL","GL","Bburago","","1:","24","","",""
"4","NB","Mercedes-Benz","300 SL","1954","Metallic Grey","F","R","RL","GL","Bburago","","1:","24","","",""
"5","NB","Citroen","TA 15 CV","1938","Black","F","R","RL","GL","Bburago","","1:","24","","",""
"6","NB","Bugatti","Atlantic","1936","Blue","F","R","RL","GL","Bburago","","1:","24","","",""
"7","NB","Kawasaki","BBZII Loader","1980","Yellow","F","R","RL","GL","Yonezawa","","1:","48","","",""
"8","NB","Hitachi","ZW 220 Loader","2006","Orange-Grey","F","R","RL","GL","Takara","","1:","87","2004","",""
"9","NB","Hitachi","LandyKID MiniEX30","1997","Orange","F","R","RL","GL","NA","","1:","24","","",""
"10","NB","Trabant","601S","1969","Light Green","F","R","RL","GL","NA","","1:","40","","",""
"11","NB","Ford","Thunderbird","1955","Red","F","R","RL","GL","Kidsfun","","1:","40","","",""
"12","NB","NA","Forklift","NA","Orange","F","R","RL","GL","NA","","1:","24","","",""
"13","NB","Chevrolet","Corvette C1","1968","White, Red","F","R","RL","GL","Revell HM","","1:","24","2001","",""
"14","NB","Shelby Cobra","427CC","1967","Red","F","R","RL","GL","Revell HM","","1:","24","2001","",""
"15","NB","McLaren","MP4-12 Mercedes","1997","West McLaren","F","R","RL","GL","Revell HM","","1:","24","2001","",""
"16","NB","Mercedes-Benz","540 K","1937","Bordeaux","F","R","RL","GL","Revell HM","","1:","24","2000","",""
"17","NB","Chevrolet","Belair","1956","Pink, Bordeaux","F","R","RL","GL","Revell HM","","1:","24","2002","",""
"18","NB","Airbus","A340-311","1994","THY","F","R","RL","GL","Herpa","","1:","500","","",""
"19","NB","Chevrolet","Scottsdale 20","1978","White, Bill Jackson's Eagle","F","R","RL","GL","Revell HM","","1:","18","2001","",""
"20","NB","Suzuki","RM 250 Off-road","1977","Yellow, Black","F","R","RL","GL","Revell HM","","1:","18","2001","",""
"21","NB","NA","Off-road Motorbike","NA","Yellow, Black (Suzuki RM 400 1975)","F","R","RL","GL","NA","","1:","24","","",""
"22","NB","Schwinn","Stingray Apple Krate","1960","Red","F","R","RL","GL","Xonex Cleve OH","","1:","6","1993","",""
"23","NB","NA","Touring Motorbike","NA","Red (Yamaha FJ 1984)","F","R","RL","GL","NA","","1:","32","","",""
"24","NB","Lambretta","Li 150","1958","Beige","F","R","RL","GL","Xonex Cleve OH","","1:","12","","",""
"25","NB","Harley Davidson","FXD Dyna Super Glide","1995","Black","F","R","RL","GL","Maisto","","1:","12","","",""
"26","NB","Harley Davidson","FXSTS Springer Softtail","1990","Black","F","R","RL","GL","Maisto","","1:","12","","",""
"27","NB","Harley Davidson","JDH Twin Cam","1928","Black","F","R","RL","GL","Maisto","","1:","12","","",""
"28","1","Vespa","Scooter","1952","Khaki","F","R","RL","GL","NA","","1:","24","","",""
"29","NB","NA","Scooter","NA","Red, Yellow (Suzuki AP50)","F","R","RL","GL","NA","","1:","32","","",""
"30","NB","Willy's","Jeep MB","1942","Khaki, WWII US Army","F","R","RL","GL","Revell HM","","1:","32","","",""
"31","NB","Sd.Kfz.","232","1938","Sand, WWII German A.","F","R","RL","GL","Tamiya HM","","1:","24","","",""
"32","NB","SWS","Cargo Halftrack","1943","Sand, WWII German A.","F","R","RL","GL","Tamiya HM","","1:","24","","",""
"33","NB","Bell","Cobra AH-1","1970","Khaki, US Army","F","R","RL","GL","Revell HM","","1:","40","","",""
"34","NB","Cord","S12 Supercharged","1937","Black, White Top","F","R","RL","GL","Signature Models","","1:","32","","",""
"35","1","Ford","Woody","1948","Brown, Beige w/ Surf","F","R","RL","GL","Signature Models","","1:","18","","",""
"36","1","DeLorean","DMC-12","1982","Anthrasit, ""Back to the Future 1""","F","R","RL","GL","Sunstar","","1:","18","","",""
"37","1","DeLorean","DMC-12","1982","Anthrasit, ""Back to the Future 2""","F","R","RL","GL","Sunstar","","1:","18","","",""
